DEPARTAMENTO,HPRES,MPRES,HPRIM,MPRIM,HSEC,MSEC,HMED,MMED,Hombres,Mujeres,year
BOLIVAR,57678,53680,230198,204363,146247,143370,45799,51717,32070,39515,2012
ANTIOQUIA,121686,116796,582762,529007,389249,394713,124293,148517,69486,67466,2012
SANTAFE DE BOGOTA D.C,161266,157636,543607,514017,463958,460027,169496,189624,63685,52639,2012
BOYACA,29062,28100,120445,107599,96669,93101,32563,38913,16641,14832,2012
CALDAS,19518,18850,85181,76480,64341,62392,22715,26023,14132,13146,2012
CAQUETA,9155,8900,63443,56146,32879,33181,7586,8549,8990,10014,2012
CAUCA,26623,25372,159029,145545,96041,95015,28746,33529,11760,12380,2012
CESAR,36303,34165,135768,122200,80876,81110,22981,26302,11032,10774,2012
CORDOBA,49208,45760,214884,189735,136208,128147,42691,44478,21072,21589,2012
CUNDINAMARCA,61848,59735,244747,222157,198146,193777,64364,74663,43895,40198,2012
CHOCO,12013,11609,75928,69409,31389,29050,8822,10263,10773,16331,2012
HUILA,25021,23906,128564,118454,85151,87651,23192,28859,24692,22710,2012
LA GUAJIRA,27892,26466,119074,109980,46641,46603,11653,14419,8764,9416,2012
MAGDALENA,42919,40138,173241,155340,99757,99304,29852,33362,22438,26240,2012
META,23988,23694,104575,94452,68673,67905,19633,23274,18221,12199,2012
NARIÑO,28294,27293,182651,166637,102285,103914,30852,36718,19733,23620,2012
NORTE DE SANTANDER,36128,34247,148293,133527,90905,94061,27843,34467,9361,8840,2012
QUINDIO,9120,8972,46913,42262,39300,37654,13061,14716,11052,11462,2012
RISARALDA,19319,18705,84891,77738,62868,61528,20121,22260,19025,19764,2012
SANTANDER,51331,49936,193547,177668,142227,142366,46851,56787,28163,25141,2012
SUCRE,29157,27104,111418,98330,74396,71445,24457,26864,9476,9057,2012
TOLIMA,29588,28402,149790,134320,102452,101480,30830,36526,17893,14836,2012
VALLE DEL CAUCA,81550,78417,332881,307801,247417,247934,83299,97791,71858,77725,2012
ARAUCA,6985,6473,31825,28623,16685,16926,4746,5499,3404,4134,2012
CASANARE,9994,9545,45400,41946,31948,31587,8924,10220,7004,8520,2012
PUTUMAYO,7502,7284,42278,38334,25463,25121,6849,7830,6807,8022,2012
SAN ANDRES Y PROVIDENCIA,1421,1420,5260,4729,4118,3858,1535,1726,702,581,2012
AMAZONAS,2897,2826,11026,10215,6665,5612,1975,1602,1062,1170,2012
GUAINIA,1144,1074,6196,5763,2886,2076,474,409,803,656,2012
GUAVIARE,2034,1955,11092,9455,6511,5837,1686,1827,2460,2730,2012
VAUPES,441,437,5845,5617,2652,2141,851,464,356,451,2012
VICHADA,1575,1486,11125,9855,4601,3768,1153,1067,485,494,2012
ATLANTICO,62567,59886,206851,196409,148733,151511,52341,59675,21779,19205,2013
BOLIVAR,57678,53680,230198,204363,146247,143370,45799,51717,32070,39515,2013
ANTIOQUIA,121686,116796,582762,529007,389249,394713,124293,148517,69486,67466,2013
SANTAFE DE BOGOTA D.C,161266,157636,543607,514017,463958,460027,169496,189624,63685,52639,2013
BOYACA,29062,28100,120445,107599,96669,93101,32563,38913,16641,14832,2013
CALDAS,19518,18850,85181,76480,64341,62392,22715,26023,14132,13146,2013
CAQUETA,9155,8900,63443,56146,32879,33181,7586,8549,8990,10014,2013
CAUCA,26623,25372,159029,145545,96041,95015,28746,33529,11760,12380,2013
CESAR,36303,34165,135768,122200,80876,81110,22981,26302,11032,10774,2013
CORDOBA,49208,45760,214884,189735,136208,128147,42691,44478,21072,21589,2013
CUNDINAMARCA,61848,59735,244747,222157,198146,193777,64364,74663,43895,40198,2013
CHOCO,12013,11609,75928,69409,31389,29050,8822,10263,10773,16331,2013
HUILA,25021,23906,128564,118454,85151,87651,23192,28859,24692,22710,2013
LA GUAJIRA,27892,26466,119074,109980,46641,46603,11653,14419,8764,9416,2013
MAGDALENA,42919,40138,173241,155340,99757,99304,29852,33362,22438,26240,2013
META,23988,23694,104575,94452,68673,67905,19633,23274,18221,12199,2013
NARIÑO,28294,27293,182651,166637,102285,103914,30852,36718,19733,23620,2013
NORTE DE SANTANDER,36128,34247,148293,133527,90905,94061,27843,34467,9361,8840,2013
QUINDIO,9120,8972,46913,42262,39300,37654,13061,14716,11052,11462,2013
RISARALDA,19319,18705,84891,77738,62868,61528,20121,22260,19025,19764,2013
SANTANDER,51331,49936,193547,177668,142227,142366,46851,56787,28163,25141,2013
SUCRE,29157,27104,111418,98330,74396,71445,24457,26864,9476,9057,2013
TOLIMA,29588,28402,149790,134320,102452,101480,30830,36526,17893,14836,2013
VALLE DEL CAUCA,81550,78417,332881,307801,247417,247934,83299,97791,71858,77725,2013
ARAUCA,6985,6473,31825,28623,16685,16926,4746,5499,3404,4134,2013
CASANARE,9994,9545,45400,41946,31948,31587,8924,10220,7004,8520,2013
PUTUMAYO,7502,7284,42278,38334,25463,25121,6849,7830,6807,8022,2013
SAN ANDRES Y PROVIDENCIA,1421,1420,5260,4729,4118,3858,1535,1726,702,581,2013
AMAZONAS,2897,2826,11026,10215,6665,5612,1975,1602,1062,1170,2013
GUAINIA,1144,1074,6196,5763,2886,2076,474,409,803,656,2013
GUAVIARE,2034,1955,11092,9455,6511,5837,1686,1827,2460,2730,2013
VAUPES,441,437,5845,5617,2652,2141,851,464,356,451,2013
VICHADA,1575,1486,11125,9855,4601,3768,1153,1067,485,494,2013
