,id,zipcode,departamento,lat,lon,electricidad,television,telefono,radio,internet,equipo,total,year
0,5,50001,ANTIOQUIA,6.2518401,-75.563591,0.980388661080406,0.707969334997326,0.566767694776252,0.139062221429845,0.608842931003744,0.905865573185951,5609,2014
1,8,80001,ATLANTICO,10.9685402,-74.7813187,0.990712074303405,0.812177502579979,0.736842105263158,0.245614035087719,0.915376676986584,0.953560371517028,969,2014
2,11,110001,SANTAFE DE BOGOTA D.C,4.6097102,-74.081749,0.986530612244898,0.879183673469388,0.966938775510204,0.318775510204082,0.975918367346939,0.994285714285714,2450,2014
3,13,130001,BOLIVAR,10.3997202,-75.5144424,0.91996699669967,0.578382838283828,0.41006600660066,0.136963696369637,0.53960396039604,0.906765676567657,1212,2014
4,15,150001,BOYACA,5.5352802,-73.3677826,0.967063492063492,0.616666666666667,0.163888888888889,0.090476190476191,0.218650793650794,0.922619047619048,2520,2014
5,17,170001,CALDAS,5.0688901,-75.5173798,0.99095704596835,0.574981160512434,0.262999246420497,0.099472494348154,0.307460437076111,0.933685003767898,1327,2014
6,18,180001,CAQUETA,1.61438,-75.6062317,0.761013215859031,0.259911894273128,0.048458149779736,0.050660792951542,0.058370044052864,0.870044052863436,908,2014
7,19,190001,CAUCA,2.43823,-76.6131592,0.931643625192012,0.550307219662058,0.107910906298003,0.070660522273426,0.24347158218126,0.907450076804916,2604,2014
8,20,200001,CESAR,10.4631395,-73.2532196,0.799264705882353,0.395588235294118,0.205882352941176,0.063235294117647,0.286764705882353,0.829411764705882,1360,2014
9,23,230001,CORDOBA,8.7479801,-75.8814316,0.95830985915493,0.430422535211268,0.178591549295775,0.067605633802817,0.356056338028169,0.889014084507042,1775,2014
10,25,250001,CUNDINAMARCA,4.3007898,-74.8075409,0.988195615514334,0.655986509274874,0.267003934794829,0.155986509274874,0.310848791455874,0.958965711073637,3558,2014
11,27,270001,CHOCO,5.6918802,-76.6583481,0.373094170403587,0.102242152466368,0.041255605381166,0.022421524663677,0.069955156950673,0.549775784753363,1115,2014
12,41,410001,HUILA,2.9273,-752.818909,0.993353783231084,0.655930470347648,0.214212678936605,0.114519427402863,0.244376278118609,0.967791411042945,1956,2014
13,44,440001,LA GUAJIRA,11.533,-72.9,0.495555555555556,0.246666666666667,0.16,0.057777777777778,0.204444444444444,0.494444444444444,900,2014
14,47,470001,MAGDALENA,11.2407904,-74.1990433,0.851851851851852,0.502153316106804,0.210163652024117,0.084409991386736,0.373815676141258,0.810508182601206,1161,2014
15,50,500001,META,4.1420002,-73.6266403,0.91417004048583,0.618623481781377,0.334412955465587,0.108502024291498,0.366801619433198,0.892307692307692,1235,2014
16,52,520001,NARIÑO,1.2136101,-77.2811127,0.891255097417309,0.565926597190757,0.113729043951065,0.089261440869959,0.249207068418668,0.923425464431355,2207,2014
17,54,540001,NORTE DE SANTANDER,7.8939099,-72.5078201,0.962946625496251,0.418614909572122,0.21393912659903,0.067931186590207,0.250551389501544,0.92059991177768,2267,2014
18,63,630001,QUINDIO,4.5338898,75.6811066,1,0.723350253807107,0.401015228426396,0.139593908629442,0.629441624365482,0.954314720812183,394,2014
19,66,660001,RISARALDA,4.8133302,-75.6961136,0.976987447698745,0.74163179916318,0.391213389121339,0.163179916317992,0.48326359832636,0.930962343096234,956,2014
20,68,680001,SANTANDER,7.1253901,-73.1197968,0.991413676786262,0.561484207298375,0.279362158846979,0.101502606562404,0.263722784421956,0.926096289481754,3261,2014
21,70,700001,SUCRE,9.3047199,-75.3977814,0.969148936170213,0.456382978723404,0.204255319148936,0.098936170212766,0.463829787234043,0.895744680851064,940,2014
22,73,730001,TOLIMA,4.43889,-75.2322235,0.986198243412798,0.637808448347972,0.193224592220828,0.194479297365119,0.325805102467587,0.947302383939774,2391,2014
23,76,760001,VALLE DEL CAUCA,3.4372201,-76.5224991,0.978290002680247,0.654248190833557,0.531224872688287,0.19002948271241,0.565800053604932,0.924953095684803,3731,2014
24,81,810001,ARAUCA,7.0847101,-70.759079,0.897959183673469,0.636734693877551,0.153061224489796,0.095918367346939,0.281632653061224,0.908163265306122,490,2014
25,85,850001,CASANARE,5.33775,-72.3958588,0.846153846153846,0.324960753532182,0.152276295133438,0.039246467817896,0.23861852433281,0.85243328100471,637,2014
26,86,860001,PUTUMAYO,1.15284,-76.6520767,0.753684210526316,0.338947368421053,0.070526315789474,0.022105263157895,0.093684210526316,0.838947368421053,950,2014
27,91,910001,AMAZONAS,-4.2152801,-69.9405594,0.863157894736842,0.557894736842105,0.178947368421053,0.052631578947369,0.168421052631579,0.757894736842105,95,2014
28,94,940001,GUAINIA,3.8652799,-67.9238892,0.648351648351648,0.252747252747253,0.043956043956044,0.021978021978022,0.054945054945055,0.659340659340659,91,2014
29,95,950001,GUAVIARE,2.57286,-72.6459122,0.758793969849246,0.341708542713568,0.035175879396985,0.035175879396985,0.045226130653266,0.698492462311558,199,2014
30,97,970001,VAUPES,1.25778,-70.2347183,0.40952380952381,0.161904761904762,0.028571428571429,0.028571428571429,0.066666666666667,0.542857142857143,105,2014
31,99,990001,VICHADA,6.1890302,-67.485878,0.601063829787234,0.234042553191489,0.021276595744681,0.010638297872341,0.042553191489362,0.691489361702128,188,2014
32,88,880001,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,12.5847197,-81.7005615,1,0.852941176470588,0.911764705882353,0.117647058823529,0.852941176470588,0.882352941176471,34,2014
